YEAR,QUARTER,DIS_BOND6,DIS_BOND5,DIS_BOND4,DIS_BOND3,DIS_BOND2,DIS_UNEMP6,DIS_UNEMP5,DIS_UNEMP4,DIS_UNEMP3,DIS_UNEMP2,DIS_HOUSING6,DIS_HOUSING5,DIS_HOUSING4,DIS_HOUSING3,DIS_HOUSING2,DIS_CPI6,DIS_CPI5,DIS_CPI4,DIS_CPI3,DIS_CPI2,DIS_gRGDP_Q1,DIS_gRGDP_Q2,DIS_gRGDP_Q3,DIS_gRGDP_a,DIS_gRCONSUM_Q1,DIS_gRCONSUM_Q2,DIS_gRCONSUM_Q3,DIS_gRCONSUM_a,DIS_gCPROF_Q1,DIS_gCPROF_Q2,DIS_gCPROF_Q3,DIS_gCPROF_a,DIS_gRFEDGOV_Q1,DIS_gRFEDGOV_Q2,DIS_gRFEDGOV_Q3,DIS_gRFEDGOV_a,DIS_gRRESINV_Q1,DIS_gRRESINV_Q2,DIS_gRRESINV_Q3,DIS_gRRESINV_a,DIS_gRNRESIN_Q1,DIS_gRNRESIN_Q2,DIS_gRNRESIN_Q3,DIS_gRNRESIN_a,DIS_gEMP_Q1,DIS_gEMP_Q2,DIS_gEMP_Q3,DIS_gEMP_a,r_DIS_Q1,r_DIS_Q2,r_DIS_Q3,r_DIS_Q4,d_r_DIS_Q1,d_r_DIS_Q2,d_r_DIS_Q3,d_r_DIS_Q4,d_DIS_gRGDP_Q1,d_DIS_gRCONSUM_Q1,d_DIS_gCPROF_Q1,d_DIS_gRFEDGOV_Q1,d_DIS_gRRESINV_Q1,d_DIS_gRNRESIN_Q1,d_DIS_BOND3,d_DIS_UNEMP3,d_DIS_HOUSING3,d_DIS_CPI3,d_DIS_gRGDP_Q2,d_DIS_gRCONSUM_Q2,d_DIS_gCPROF_Q2,d_DIS_gRFEDGOV_Q2,d_DIS_gRRESINV_Q2,d_DIS_gRNRESIN_Q2,d_DIS_BOND4,d_DIS_UNEMP4,d_DIS_HOUSING4,d_DIS_CPI4,d_DIS_gRGDP_Q3,d_DIS_gRCONSUM_Q3,d_DIS_gCPROF_Q3,d_DIS_gRFEDGOV_Q3,d_DIS_gRRESINV_Q3,d_DIS_gRNRESIN_Q3,d_DIS_BOND5,d_DIS_UNEMP5,d_DIS_HOUSING5,d_DIS_CPI5,d_DIS_gRGDP_a,d_DIS_gRCONSUM_a,d_DIS_gCPROF_a,d_DIS_gRFEDGOV_a,d_DIS_gRRESINV_a,d_DIS_gRNRESIN_a,d_DIS_BOND6,d_DIS_UNEMP6,d_DIS_HOUSING6,d_DIS_CPI6,log_r_DIS_Q1,log_r_DIS_Q2,log_r_DIS_Q3,log_r_DIS_Q4,log_DIS_gRGDP_Q1,log_DIS_gRGDP_Q2,log_DIS_gRGDP_Q3,log_DIS_gRGDP_a,log_DIS_gRCONSUM_Q1,log_DIS_gRCONSUM_Q2,log_DIS_gRCONSUM_Q3,log_DIS_gRCONSUM_a,log_DIS_gCPROF_Q1,log_DIS_gCPROF_Q2,log_DIS_gCPROF_Q3,log_DIS_gCPROF_a,log_DIS_gRFEDGOV_Q1,log_DIS_gRFEDGOV_Q2,log_DIS_gRFEDGOV_Q3,log_DIS_gRFEDGOV_a,log_DIS_gRRESINV_Q1,log_DIS_gRRESINV_Q2,log_DIS_gRRESINV_Q3,log_DIS_gRRESINV_a,log_DIS_gRNRESIN_Q1,log_DIS_gRNRESIN_Q2,log_DIS_gRNRESIN_Q3,log_DIS_gRNRESIN_a,log_DIS_UNEMP3,log_DIS_UNEMP4,log_DIS_UNEMP5,log_DIS_UNEMP6,log_DIS_HOUSING3,log_DIS_HOUSING4,log_DIS_HOUSING5,log_DIS_HOUSING6,log_DIS_CPI3,log_DIS_CPI4,log_DIS_CPI5,log_DIS_CPI6,log_DIS_BOND3,log_DIS_BOND4,log_DIS_BOND5,log_DIS_BOND6,D_DISQ1,D_DISQ2,D_DISQ3,D_DISQ4,M_DISQ1,M_DISQ2,M_DISQ3,M_DISQ4
1968,4,,,,,,0.2898005330988005,0.25080954508436865,0.23183238286799746,0.16977782194535543,0.12342244622879699,0.11888136009390951,0.09149833028227587,0.0693710723501687,0.06724701104009882,0.05184050801839178,,,,,,0.02306361940607787,0.01834324653310843,0.01603677325396134,0.015461947221331807,,,,,0.0853263896767118,0.07043764058960715,0.057442871984748775,0.049874773216874245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.769498820426403,-3.998493808566419,-4.132870865486559,-4.16937329153349,,,,,-2.461271497457515,-2.6530274912358514,-2.856964355757629,-2.9982399508125375,,,,,,,,,,,,,-1.7732646264425798,-1.4617406560737407,-1.3830614123974654,-1.2385624095568726,-2.6993827069883083,-2.6682853232905583,-2.3914345551483014,-2.1296292571805107,,,,,,,,,,,,,,,,
1969,1,,,,,,,0.2550581204524631,0.24536133719954684,0.2555397159896823,0.15904427675088825,,0.11462078126268277,0.09947732256609056,0.0793363869550534,0.06092546732119513,,,,,,0.016903592638655672,0.014199456012787945,0.015572711233295622,,,,,,0.0807299508016985,0.06711684158798245,0.06250804123814437,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006160026767422198,,-0.004596438875013306,,,,,0.08576189404432685,0.012089375914954584,,-0.004143790520320484,,-0.0033207990016246997,,,,,0.013528954331549381,0.03010625021592185,,-0.00046406202066571686,,0.0050651692533955905,,,,,0.004248575368094476,0.023122450980406897,,,,,,,,,,,,,,,,-4.080229097476522,-4.254551624067324,-4.162235176420305,,,,,,-2.5166456349932296,-2.70132027412848,-2.772460070705435,,,,,,,,,,,,,,-1.3643774372319502,-1.4050233092417466,-1.3662638364512973,,-2.5340584036894476,-2.3078255747025493,-2.166126153770427,,,,,,,,,,,,,,,,,
1969,2,,,,,,,0.3148324901520584,0.25613891320364196,0.17675832793253757,0.09849517095420825,,0.11486503723039071,0.1169704042555129,0.09379658171883645,0.06250087350892028,,,,,,0.020227415900595732,0.01853844663694012,0.017912473717762646,,,,,,0.08308121880083594,0.07011690772881125,0.06557958787012434,,,,,,,,,,,,,,,,,,,,,,,,,,0.00332382326194006,,0.0023512679991374436,,,,,-0.07878138805714471,0.014460194763783046,,0.0043389906241521736,,0.0030000661408288026,,,,,0.010777576004095124,0.017493081689422346,,0.0023397624844670242,,0.0030715466319799767,,,,,0.059774369699595264,0.00024425596770794034,,,,,,,,,,,,,,,,-3.900716371967564,-3.98790850676985,-4.022257953085719,,,,,,-2.48793660987437,-2.657591319604729,-2.724490791968969,,,,,,,,,,,,,,-1.7329718582996554,-1.362035351971108,-1.155714558895249,,-2.3666268658638807,-2.145834331264,-2.1639974291150352,,,,,,,,,,,,,,,,,
1969,3,,,,,,,0.42386211308524707,0.29659868378126564,0.19513565045352954,0.10881594134550826,,0.2119552184102538,0.18797903933290372,0.144496950798905,0.0938347902169314,,,,,,0.026759300804714142,0.021050250529607243,0.024564134441988156,,,,,,0.22445218723114269,0.12644388728877995,0.11399815914958827,,,,,,,,,,,,,,,,,,,,,,,,,,0.00653188490411841,,0.14137096843030675,,,,,0.018377322520991973,0.05070036908006856,,0.002511803892667124,,0.056326979559968696,,,,,0.04045977057762368,0.07100863507739082,,0.00665166072422551,,0.04841857127946393,,,,,0.10902962293318869,0.0970901811798631,,,,,,,,,,,,,,,,-3.6208731724373724,-3.860842817280521,-3.706467849399032,,,,,,-1.4940925689536362,-2.067956647969539,-2.171572978528648,,,,,,,,,,,,,,-1.6340603189146397,-1.2153752869777485,-0.8583470816284133,,-1.9344968733899766,-1.6714248152780709,-1.5513802605370473,,,,,,,,,,,,,,,,,
1969,4,,,,,,0.5357080968056811,0.46386605520529034,0.30126556849554303,0.21332702010860588,0.14336034511742968,0.1610356095168629,0.1473390603380472,0.13598128213437713,0.10549558370765186,0.05668665295619974,,,,,,0.0228207535573887,0.019962679767029323,0.017263058813596233,0.016064619299931245,,,,,0.1252926013680052,0.08615288085245822,0.0835088985575263,0.0712895964406965,,,,,,,,,,,,,,,,,,,,,,,,,-0.003938547247325442,,-0.09915958586313747,,,,,0.01819136965507634,-0.03900136709125315,,-0.0010875707625779205,,-0.04029100643632173,,,,,0.004666884714277397,-0.05199775719852659,,-0.0073010756283919225,,-0.030489260592061973,,,,,0.04000394212004327,-0.06461615807220661,,,,,,,,,,,,,,,,-3.7800849132972405,-3.913890760245269,-4.059186389237221,-4.131135984178377,,,,,-2.077103466165814,-2.4516318766084133,-2.4828020832522455,-2.641004874680847,,,,,,,,,,,,,-1.5449289849753278,-1.1997631158593647,-0.7681594425568073,-0.6241658617691213,-2.2490861875331727,-1.9952380340830245,-1.9150188152552907,-1.826129761330356,,,,,,,,,,,,,,,,
1970,1,,,,,,,0.4011176159217926,0.35800837134122043,0.2956019625546871,0.17691994081150192,,0.14737078866128578,0.12587034661048707,0.10976716799130411,0.08271371374541493,,,,,,0.018032503795165765,0.017838365952992236,0.018164151893861065,,,,,,0.08332036383635817,0.0681221743216512,0.0657856069597881,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0047882497622229354,,-0.04197223753164704,,,,,0.08227494244608125,0.004271584283652249,,-0.002124313814037087,,-0.018030706530807017,,,,,0.0567428028456774,-0.010110935523890058,,0.0009010930802648316,,-0.017723291597738194,,,,,-0.06274843928349771,3.1728323238583434e-05,,,,,,,,,,,,,,,,-4.015579383123928,-4.0264037505885275,-4.008305303423928,,,,,,-2.485062295863924,-2.6864525047062804,-2.7213542037907232,,,,,,,,,,,,,,-1.2187414507058838,-1.0271989092201357,-0.9135005881433852,,-2.2093938110936864,-2.0725028969644956,-1.91480349619847,,,,,,,,,,,,,,,,,
1970,2,,,,,,0.5935434645980148,0.5960185359853292,0.5601766769579625,0.43462908211990414,0.27581575765697874,0.1337639778560414,0.1179226805262786,0.09597837980982564,0.08505160963331708,0.06627320212608036,,,,,,0.03441088211702774,0.032497795488280655,0.030808009245691596,0.03037071111753545,,,,,0.16025215866534018,0.13658779698803064,0.09340699062762925,0.058542916143594324,,,,,,,,,,,,,,,,,,,,,,,,,0.016378378321861974,,0.076931794828982,,,,,0.13902711956521702,-0.024715558357987027,,0.01465942953528842,,0.06846562266637944,,,,,0.20216830561674204,-0.029891966800661432,,0.012643857351830531,,0.027621383667841143,,,,,0.19490092006353654,-0.029448108135007173,,,,,,,,,,,,,,,,-3.3693824240166546,-3.4265830230769065,-3.479980582362732,-3.4942765850673796,,,,,-1.8310067126615384,-1.9907876697449585,-2.3707890904279436,-2.8379951844118794,,,,,,,,,,,,,-0.8332622964177375,-0.5795030504430979,-0.517483511753877,-0.5216448332448974,-2.464497034589584,-2.343632323192268,-2.1377261190637316,-2.011678391331643,,,,,,,,,,,,,,,,
1970,3,,,,,,0.46808795630909905,0.46353222003768235,0.4213117948111881,0.3540521149066635,0.1678573818124506,0.21565145586404283,0.1893058428249365,0.12911043159287827,0.12277717497107331,0.07060417112035124,,,,,,0.022149943078752243,0.018243467397970566,0.014136863193245603,0.015079552555314379,,,,,0.07801743488719397,0.05657567476947997,0.04976583619135878,0.04831549031184543,,,,,,,,,,,,,,,,,,,,,,,,,-0.012260939038275496,,-0.08223472377814621,,,,,-0.08057696721324065,0.03772556533775623,,-0.01425432809031009,,-0.08001212221855067,,,,,-0.1388648821467744,0.03313205178305263,,-0.016671146052445993,,-0.04364115443627047,,,,,-0.13248631594764682,0.0713831622986579,,-0.01529115856222107,,-0.010227425831748897,,,,,-0.12545550828891572,0.08188747800800142,,,,,,-3.8099203523023197,-4.003948213829448,-4.258969482356657,-4.1944155882407825,,,,,-2.5508229530755617,-2.8721761605432956,-3.0004265506249386,-3.03000305935002,,,,,,,,,,,,,-1.0383111594332968,-0.864382114160266,-0.7688793817478518,-0.7590990598917476,-2.0973841521164207,-2.047087181970346,-1.6643913558182717,-1.5340918048605616,,,,,,,,,,,,,,,,
1970,4,,,,,,0.5034662460081759,0.4681455679644678,0.41582096613065067,0.2914891068346113,0.1478028917161603,0.1368914856598241,0.12424638208631451,0.12291393956122931,0.10206874568717812,0.05790700435911147,,,,,,0.03130283238427551,0.02375857202409493,0.01857820209211839,0.018126946312694098,,,,,0.17545617248426829,0.10141206265432598,0.057066991385539466,0.046069681790144375,,,,,,,,,,,,,,,,,,,,,,,,,0.009152889305523267,,0.09743873759707432,,,,,-0.06256300807205217,-0.020708429283895186,,0.005515104626124364,,0.04483638788484601,,,,,-0.005490828680537407,-0.006196492031648959,,0.004441338898872788,,0.007301155194180689,,,,,0.0046133479267854716,-0.065059460738622,,0.0030473937573797186,,-0.0022458085217010523,,,,,0.03537828969907686,-0.07875997020421874,,,,,,-3.4640466940197396,-3.7398118862897745,-3.985766316041826,-4.010355701237186,,,,,-1.7403659966981728,-2.288563233812336,-2.8635294137916305,-3.0776002071529263,,,,,,,,,,,,,-1.2327526432393738,-0.8775004812348127,-0.7589759887691104,-0.6862386077833745,-2.282108715393309,-2.096270846862851,-2.085488732446926,-1.988566742487272,,,,,,,,,,,,,,,,
1971,1,,,,,,0.42256413387755987,0.3825189599444468,0.35735752757668776,0.26876142655246454,0.13848789072337378,0.18240635523844162,0.15420765220960986,0.1717481055636593,0.14285163014573599,0.1242142361832501,,,,,,0.018708761821932648,0.014838102970275222,0.012944068919274526,0.013280999546328038,,,,,0.08865830561153332,0.0625027626184286,0.054818354549159364,0.053341446737249144,,,,,,,,,,,,,,,,,,,,,,,,,-0.012594070562342862,,-0.08679786687273497,,,,,-0.02272768028214678,0.040782884458557864,,-0.008920469053819708,,-0.038909300035897376,,,,,-0.05846343855396291,0.048834166002429985,,-0.0056341331728438655,,-0.0022486368363801024,,,,,-0.08562660802002103,0.029961270123295344,,-0.0048459467663660594,,0.00727176494710477,,,,,-0.08090211213061604,0.04551486957861753,,,,,,-3.978763318227877,-4.2105568816058305,-4.3471175942615625,-4.321420870723497,,,,,-2.422965560929133,-2.7725445213217985,-2.9037302040785966,-2.931041637663034,,,,,,,,,,,,,-1.3139311830395846,-1.0290185205409856,-0.9609770584618094,-0.8614140475448748,-1.9459487387797352,-1.761726378137546,-1.8694551938597508,-1.7015183596328678,,,,,,,,,,,,,,,,
